hotel_name;address;detail_url;show_rooms_url;min_price;rating;rating_category;reviews_count
Nebo Baykala;ulitsa Gorkogo 133/2, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid10006764/nebo_baykala_guest_house/;https://ostrovok.ru/hotel/russia/listvyanka/mid10006764/nebo_baykala_guest_house/;from ₽ 2,683 per night;8.5;Excellent;52 reviews
Nataly Hotel;ulitsa Chapaeva 91, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid7776564/hotel_nataly_2/;https://ostrovok.ru/hotel/russia/listvyanka/mid7776564/hotel_nataly_2/;from ₽ 3,800 per night;8.2;Excellent;74 reviews
Ersi;ulitsa Chapaeva, 65, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid13345007/guest_house_ersi/;https://ostrovok.ru/hotel/russia/listvyanka/mid13345007/guest_house_ersi/;from ₽ 4,315 per night;6.8;Good;6 reviews
Panda Hotel;ulitsa Profsoyuznaya, 10/2, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid6479321/minihotel_panda/;https://ostrovok.ru/hotel/russia/irkutsk/mid6479321/minihotel_panda/;from ₽ 2,410 per night;7.0;Very good;7 reviews
Matreshka Hotel;Ulitsa Sof'y perovskoy, 31/1, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid6332937/matreshka_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid6332937/matreshka_hotel/;from ₽ 4,004 per night;8.3;Excellent;201 reviews
Iskateli;ulitsa Lenina, 27, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10578818/glemping_iskateli/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10578818/glemping_iskateli/;from ₽ 19,917 per night;9.4;Fantastic;12 reviews
Arena Irkutsk Hotel;Irkutsk, Zhelyabova street, 8А, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8491921/arena_g_irkutsk/;https://ostrovok.ru/hotel/russia/irkutsk/mid8491921/arena_g_irkutsk/;from ₽ 2,721 per night;7.5;Very good;19 reviews
Gostinitsa LADA Hotel;ulitsa Tayozhnaya, 30, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid8878913/lada_8/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid8878913/lada_8/;from ₽ 4,121 per night;8.9;Excellent;13 reviews
Central Hotel;Bogdanov lane, 8, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8748836/otel_tsentral/;https://ostrovok.ru/hotel/russia/irkutsk/mid8748836/otel_tsentral/;from ₽ 7,500 per night;9.5;Fantastic;155 reviews
SAYEN Hotel;Ulitsa Karla Marksa, 13B, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7384846/international_hotel_sayen/;https://ostrovok.ru/hotel/russia/irkutsk/mid7384846/international_hotel_sayen/;from ₽ 18,351 per night;9.4;Fantastic;207 reviews
Gostiny Dvor Vdokhnovenie Hotel;Severnaya ulitsa, 5/2, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10438999/baza_otdykha_gostiny_dvor_vdokhnovenie/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10438999/baza_otdykha_gostiny_dvor_vdokhnovenie/;from ₽ 7,469 per night;7.0;Very good;45 reviews
Baykal Shale;ulitsa Gudina, 75, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid13431413/baykal_shale_guest_house/;https://ostrovok.ru/hotel/russia/listvyanka/mid13431413/baykal_shale_guest_house/;from ₽ 5,082 per night;9.9;Fantastic;2 reviews
DivoBaykala 1;ulitsa 4-ya Zheleznodorozhnaya 57, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13373670/divobaykala_flat_1/;https://ostrovok.ru/hotel/russia/irkutsk/mid13373670/divobaykala_flat_1/;from ₽ 2,200 per night;9.2;Fantastic;35 reviews
Ol'khon;Russia, Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Baykalskaya ulitsa, 64/1, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid9252749/bolshoe_puteshestvie_hotel/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid9252749/bolshoe_puteshestvie_hotel/;from ₽ 6,648 per night;6.9;Good;20 reviews
Arabeska;ulitsa Akademicheskaya 15, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid8568842/arabeska_hotel/;https://ostrovok.ru/hotel/russia/listvyanka/mid8568842/arabeska_hotel/;from ₽ 2,490 per night;7.8;Very good;24 reviews
Undina Hotel;Ulitsa Kulikova,6, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid9079103/gostinitsa_undina/;https://ostrovok.ru/hotel/russia/listvyanka/mid9079103/gostinitsa_undina/;from ₽ 8,009 per night;8.3;Excellent;18 reviews
Baykal Lodging house;ulitsa Gornaya, 8A, Listvyanka;https://ostrovok.ru/hotel/russia/listvyanka/mid13308043/baykal_guest_house_3/;https://ostrovok.ru/hotel/russia/listvyanka/mid13308043/baykal_guest_house_3/;from ₽ 3,110 per night;5.3;Reviews rating;9 reviews
Albatros Hotel;Shiryamova Street, 15б/1, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid6481029/minihotel_albatros/;https://ostrovok.ru/hotel/russia/irkutsk/mid6481029/minihotel_albatros/;from ₽ 3,110 per night;8.0;Excellent;48 reviews
