hotel_id,master_id,rate_hash,rg_hash,multi_bed_data,room_name,room_type,allotment,bedding_type,main_bed_count,extra_bed_count,has_breakfast,meal_type,amenities,price_rub,payment_types,free_cancellation_before,cancellation_penalty_percent,no_show_penalty
best_eastern_hotel_zvezda,7806155,h-9bbffc8e-bcbc-51c6-b06d-31cba269ffb2,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный (двуспальная кровать),Двухместный номер Стандартный,15,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",5973.00,"now/credit_card, now/sbp",,100.00,6000.00
best_eastern_hotel_zvezda,7806155,h-76f51880-6631-57ec-8488-a2be1b1d5df9,3202402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Стандартный (2 отдельные кровати),Двухместный номер Стандартный,15,2 отдельные кровати,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",5973.00,"now/credit_card, now/sbp",,100.00,6000.00
best_eastern_hotel_zvezda,7806155,h-57768cde-2bc4-5c2b-a824-b6d6d0ed2656,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный (двуспальная кровать),Двухместный номер Стандартный,15,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",6000.00,hotel/,,100.00,6000.00
best_eastern_hotel_zvezda,7806155,h-5b13e427-eccc-579c-8b1d-5690e0558d5f,3202402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Стандартный (2 отдельные кровати),Двухместный номер Стандартный,15,2 отдельные кровати,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",6000.00,hotel/,,100.00,6000.00
best_eastern_hotel_zvezda,7806155,h-82b523f4-ced2-5f9c-abd1-b104cf98c0c6,3202302000E,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный с видом на лес (двуспальная кровать),Двухместный номер Стандартный с видом на лес,15,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",6000.00,hotel/,,100.00,6000.00
best_eastern_hotel_zvezda,7806155,h-abc5a013-5f57-5358-9ee7-133eee794225,4002302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный Джуниор Сюит (двуспальная кровать),Двухместный Джуниор Сюит,3,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",12544.00,"now/sbp, now/credit_card",,100.00,12600.00
best_eastern_hotel_zvezda,7806155,h-7ef4e00f-c981-5c13-9ea3-c9064734cae0,4002302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный Джуниор Сюит (двуспальная кровать),Двухместный Джуниор Сюит,3,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",12600.00,hotel/,,100.00,12600.00
best_eastern_hotel_zvezda,7806155,h-6d19359d-1dc6-5177-962f-12906db08de8,5002302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный люкс (двуспальная кровать),Двухместный люкс,2,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",16526.00,"now/credit_card, now/sbp",,100.00,16600.00
best_eastern_hotel_zvezda,7806155,h-706a040c-ac95-539c-a061-a49bda086122,5002302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный люкс (двуспальная кровать),Двухместный люкс,2,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",16600.00,hotel/,,100.00,16600.00
best_eastern_hotel_zvezda,7806155,h-b5590054-a777-5cd4-92f5-98581b10233a,5902302001,"[{""bed"": ""double"", ""count"": 1}]",Двухместный люкс Президентский с балконом (двуспальная кровать),Двухместный люкс Президентский с балконом,1,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",27577.00,"now/credit_card, now/sbp",,100.00,27700.00
best_eastern_hotel_zvezda,7806155,h-84613515-8a06-5153-a683-2546a56392be,5902302001,"[{""bed"": ""double"", ""count"": 1}]",Двухместный люкс Президентский с балконом (двуспальная кровать),Двухместный люкс Президентский с балконом,1,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",27700.00,hotel/,,100.00,27700.00
victory_hotel_4,8457230,h-691987e1-859a-5d5b-8f3b-8bb2a5515083,3202402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Стандартный (2 отдельные кровати),Двухместный номер Стандартный,5,2 отдельные кровати,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",4800.00,"now/credit_card, now/sbp",2026-01-25,100.00,4800.00
victory_hotel_4,8457230,h-e40807fb-c4fd-510e-b5f1-6d280e5e4bce,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный (двуспальная кровать),Двухместный номер Стандартный,5,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",4800.00,"now/credit_card, now/sbp",2026-01-25,100.00,4800.00
victory_hotel_4,8457230,h-e5ee0f5f-1bd7-5387-8619-5e4831323b9e,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный (двуспальная кровать),Двухместный номер Стандартный,5,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",4800.00,hotel/,2026-01-25,100.00,4800.00
victory_hotel_4,8457230,h-f5ac27b7-a647-5ef3-9a9b-09d4bb47a3dc,3202402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Стандартный (2 отдельные кровати),Двухместный номер Стандартный,5,2 отдельные кровати,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",4800.00,hotel/,2026-01-25,100.00,4800.00
