id,name,address,address_en,stars,rating,review_count,image_count,latitude,longitude,category,has_verified_owner,phone_available
1098946762,Маяк,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Горького, 85А","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Gorkogo, 85А",,4.9,1642,204,51.847253879671335,104.87305840804505,Гостиница,False,False
1113240355,Воздушная гавань,"Иркутск, улица Ширямова, 6","Irkutsk, Shiryamova Street, 6",3,4.4,1215,307,52.274725,104.353954,Гостиница,False,False
42920647960,Azimut Аэропорт Отель Иркутск,"Иркутск, улица Ширямова, 10А","Irkutsk, Shiryamova Street, 10А",4,4.4,21,74,52.27366,104.353846,Гостиница,False,False
1122031657,Прибой,"Иркутский район, Листвянское муниципальное образование, рабочий посёлок Листвянка, улица Горького, 101","Irkutskiy rayon, Listvyanskoye munitsipalnoye obrazovaniye, rabochiy posyolok Listvyanka, ulitsa Gorkogo, 101",,4.4,252,111,51.845716,104.875192,Гостиница,False,False
41682514954,Вера Байкал,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Горького, 8","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Gorkogo, 8",4,4.6,91,197,51.843512,104.878597,Гостиница,False,False
1083346489,Крестовая падь,"Иркутский муниципальный округ, рабочий посёлок Листвянка, Горная улица, 14","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, Gornaya ulitsa, 14",3,5,643,563,51.857896,104.859903,Гостиница,False,False
1016678470,Виктория,"Иркутск, улица Богдана Хмельницкого, 1Б","Irkutsk, Bogdan Khmelnitsky street, 1Б",3,4.9,660,303,52.283451,104.287515,Гостиница,False,False
54906453691,History Boutique Hotel&Spa,"Иркутск, улица 3 Июля, 26","Irkutsk, 3 July street, 26",5,5,466,512,52.271301,104.290971,Гостиница,False,False
1186331565,Ibis Иркутск центр,"Иркутск, улица Полины Осипенко, 5","Irkutsk, Polina Osipenko Street, 5",4,5,1794,225,52.287412,104.270324,Гостиница,False,False
97530069678,Байкал Вью,"Иркутская область, Ольхонский район, посёлок Хужир","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir",3,5,489,384,53.178294,107.306872,Гостиница,False,False
23080280590,Байкал Хан,"Иркутская область, Ольхонский район, посёлок Хужир, улица Ворошилова, 18","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, ulitsa Voroshilova, 18",,4.8,315,185,53.198954,107.351419,Гостиница,False,False
1246365801,Отель Байкал,"Иркутский муниципальный округ, рабочий посёлок Листвянка, Академическая улица, 13","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, Akademicheskaya ulitsa, 13",4,5,534,631,51.867722,104.837218,Гостиница,False,False
1020863604,Академическая,"Иркутск, улица Лермонтова, 271А","Irkutsk, ulitsa Lermontova, 271А",,4.4,238,102,52.248708,104.270998,Гостиница,False,False
26908941876,Азатай,"Иркутский муниципальный округ, долина реки Голоустная","Irkutskiy munitsipalny okrug, dolina reki Goloustnaya",,4.8,28,89,52.061651,105.470458,Гостиница,False,False
1060607444,Парк-отель Бурдугуз,"Иркутский муниципальный округ, посёлок Бурдугуз, Лесная улица, 1","Irkutskiy munitsipalny okrug, posyolok Burduguz, Lesnaya ulitsa, 1",4,5,587,123,52.057145,104.602173,Гостиница,False,False
1013715863,Фрегат,"Иркутск, Байкальская улица, 236","Irkutsk, Baykalskaya Street, 236",2,4.8,626,145,52.253393,104.327345,Гостиница,False,False
208965582537,Подлеморье,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Горького, 31Б","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Gorkogo, 31Б",1,4.8,215,165,51.854522,104.862653,Гостиница,False,False
110306319303,Olkhon Inn,"Иркутская область, Ольхонский район, посёлок Хужир, Первомайская улица, 1","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Pervomayskaya ulitsa, 1",,4.4,95,56,53.19389,107.33785,Иное жильё,False,False
1202321867,Альбатрос,"Иркутск, улица Ширямова, 15Б/2","Irkutsk, Shiryamova Street, 15Б/2",,4.3,207,114,52.261548,104.353954,Гостиница,False,False
1187180144,Империя,"Иркутск, улица Польских Повстанцев, 1А/2","Irkutsk, Polish Rebel Street, 1А/2",3,4.7,380,237,52.29204325453633,104.28383607292817,Гостиница,False,False
23762566974,Пушкин,"Иркутск, улица Сухэ-Батора, 18","Irkutsk, Sukhe-Batora Street, 18",5,4.8,25,80,52.283247,104.285712,Гостиница,False,False
1113789303,Добрый Кот,"Иркутск, улица Румянцева, 22","Irkutsk, ulitsa Rumyantseva, 22",,4.8,270,351,52.283855,104.252223,Гостиница,False,False
1164854572,Даурия,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Куликова, 44","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Kulikova, 44",,5,224,192,51.859711,104.863192,Гостиница,False,False
13962061184,Good Hotel,"Иркутск, Сибирская улица, 21/1","Irkutsk, Sibirskaya ulitsa, 21/1",,4.6,81,88,52.262421,104.302932,Гостиница,False,False
172004088479,Азия- Европа,"Иркутск, улица Ядринцева, 1/7","Irkutsk, ulitsa Yadrintseva, 1/7",,4.3,6,40,52.279038,104.336203,Гостиница,False,False
23580003998,Кемпинг-отель Ольхон,"Иркутская область, Ольхонский район, посёлок Хужир, Байкальская улица, 64/1","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Baykalskaya ulitsa, 64/1",,4.5,197,114,53.194194,107.354125,Гостиница,False,False
124130370695,Аристократ,"Иркутск, улица Ленина, 9","Irkutsk, Lenina Street, 9",,4.4,192,241,52.281494,104.281725,Гостиница,False,False
1110862207,Sayen,"Иркутск, улица Карла Маркса, 13Б","Irkutsk, Karla Marksa Street, 13Б",5,5,313,129,52.282091,104.283954,Гостиница,False,False
1157459292,Иркут,"Иркутск, Пролетарская улица, 7","Irkutsk, Proletarskaya Street, 7",2,4.7,337,131,52.288906,104.285384,Гостиница,False,False
204529723885,Бизнес Холл,"Иркутск, улица Свердлова, 10","Irkutsk, Sverdlov street, 10",3,4.4,145,132,52.282756,104.27689,Гостиница,False,False
1096089770,Иркутск,"Иркутск, бульвар Гагарина, 44","Irkutsk, Gagarin boulevard, 44",3,4.6,1239,631,52.281947,104.273887,Гостиница,False,False
232214311737,Гостиница на Волжской,"Иркутск, Волжская улица, 14А","Irkutsk, Volzhskaya street, 14А",,3.9,16,40,52.263943,104.313768,Гостиница,False,False
1060495219,Усадьба Егорова,"Иркутск, улица Грязнова, 2","Irkutsk, Gryaznova street, 2",,4.5,37,73,52.281128,104.285611,Гостиница,False,False
140497383185,Точка Байкала,"Иркутская область, Ольхонский район, посёлок Хужир, Байкальская улица, 64/4","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Baykalskaya ulitsa, 64/4",3,4.9,93,127,53.194195,107.354605,Гостиница,False,False
1865180950,Созвездие Байкала,"Иркутский муниципальный округ, рабочий посёлок Листвянка, Партизанская улица, 14","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, Partizanskaya ulitsa, 14",2,4.5,81,81,51.844045,104.887411,Гостиница,False,False
